Tool,Role,Contract,Privacy Notice,Period,Trigger,Deletion API,Source,Comments
Google Analytics 4,Processor,https://business.safety.google/adsprocessorterms/,N/A,2M/14M,Collection,https://developers.google.com/analytics/devguides/config/userdeletion/v3,https://support.google.com/analytics/answer/7667196?hl=en,Current version of GA
Google Universal Analytics,Processor,https://business.safety.google/adsprocessorterms/,N/A,∞/14M/26M/38M/50M,Collection,https://developers.google.com/analytics/devguides/config/userdeletion/v3,https://support.google.com/analytics/answer/7667196?hl=en,Outdated GA version
Google Looker Studio,Processor,https://business.safety.google/adsprocessorterms/,N/A,12h (configurable),Last cache update,"   ",https://support.google.com/looker-studio/answer/7020039,Looker does not store underlying information and depends on data in data source; however it stores certain cache
Firebase Authentication,Processor,https://cloud.google.com/terms/data-processing-addendum,N/A,180d,Request for data deletion,https://firebase.google.com/docs/auth/admin/manage-users#delete_a_user,https://firebase.google.com/support/privacy,"IP is kept for a few weeks; after deletion call, data is stored in backups for 180 days"
Firebase Realtime Database,Processor,https://firebase.google.com/terms/data-processing-terms,N/A,180d,Request for data deletion,https://firebase.google.com/docs/auth/admin/manage-users#delete_a_user,https://firebase.google.com/support/privacy,
Firebase Hosting,Processor,https://firebase.google.com/terms/data-processing-terms,N/A,~few~M,Collection,,https://firebase.google.com/support/privacy,
Cloud Firestore,Processor,https://cloud.google.com/terms/data-processing-addendum,N/A,180d,Request for data deletion,,https://firebase.google.com/support/privacy,
Cloud Functions for Firebase,Processor,https://cloud.google.com/terms/data-processing-addendum,N/A,180d,Request for data deletion,,https://firebase.google.com/support/privacy,
Cloud Storage for Firebase,Processor,https://cloud.google.com/terms/data-processing-addendum,N/A,180d,Request for data deletion,,https://firebase.google.com/support/privacy,
Firebase Test Lab,Processor,https://cloud.google.com/terms/data-processing-addendum,N/A,180d,Request for data deletion,,https://firebase.google.com/support/privacy,
Firebase Performance Monitoring,Processor,https://firebase.google.com/terms/data-processing-terms,N/A,90d,Collection,,https://firebase.google.com/support/privacy,
Firebase Cloud Messaging,Processor,https://firebase.google.com/terms/data-processing-terms,N/A,180d,Request for data deletion,https://firebase.google.com/docs/auth/admin/manage-users#delete_a_user,https://firebase.google.com/support/privacy,
Firebase Dynamic Links,Processor,https://firebase.google.com/terms/data-processing-terms,N/A,~temporary~,Collection,,https://firebase.google.com/support/privacy,
Firebase Remote Config,Processor,https://firebase.google.com/terms/data-processing-terms,N/A,180d,Request for data deletion,https://firebase.google.com/docs/auth/admin/manage-users#delete_a_user,https://firebase.google.com/support/privacy,
Firebase A/B Testing,Processor,https://firebase.google.com/terms/data-processing-terms,N/A,180d,Request for data deletion,https://firebase.google.com/docs/auth/admin/manage-users#delete_a_user,https://firebase.google.com/support/privacy,
Firebase ML,Processor,https://firebase.google.com/terms/data-processing-terms,N/A,1w,Collection,,https://firebase.google.com/support/privacy,
Firebase In-App Messaging,Processor,https://firebase.google.com/terms/data-processing-terms,N/A,180d,Request for data deletion,https://firebase.google.com/docs/auth/admin/manage-users#delete_a_user,https://firebase.google.com/support/privacy,
Firebase User Segmentation Storage,Processor,https://firebase.google.com/terms/data-processing-terms,N/A,180d,Request for data deletion,https://firebase.google.com/docs/auth/admin/manage-users#delete_a_user,https://firebase.google.com/support/privacy,
Firebase App Check,Processor,https://firebase.google.com/terms/data-processing-terms,N/A,7d,Collection,,https://firebase.google.com/support/privacy,
Firebase App Indexing,Controller,N/A,https://firebase.google.com/policies/app-indexing,As determined by Google,,,https://firebase.google.com/support/privacy,
Firebase Crashlytics,Processor,https://firebase.google.com/terms/crashlytics-app-distribution-data-processing-terms,N/A,90d,Collection,,https://firebase.google.com/support/privacy,
Firebase App Distribution,Processor,https://firebase.google.com/terms/crashlytics-app-distribution-data-processing-terms,N/A,180d,Request for data deletion,https://firebase.google.com/docs/auth/admin/manage-users#delete_a_user,https://firebase.google.com/support/privacy,
Google Analytics for Firebase,Processor,https://business.safety.google/adsprocessorterms/,N/A,2M/14M,Collection,https://developers.google.com/analytics/devguides/config/userdeletion/v3,https://support.google.com/analytics/answer/7667196,
Amplitude Analytics,Processor,https://amplitude.com/terms/dpa,N/A,30d,Request for data deletion,https://www.docs.developers.amplitude.com/analytics/apis/user-privacy-api/#delete-users,https://www.docs.developers.amplitude.com/analytics/apis/user-privacy-api/#delete-users,
Mixpanel,Processor,https://mixpanel.com/legal/dpa/,N/A,60d,Request for data deletion,https://developer.mixpanel.com/docs/privacy-security#gdpr-and-ccpa-api-v3,https://help.mixpanel.com/hc/en-us/articles/360000881023-Export-or-Delete-End-User-Data#deleting-user-data,
Pendo,Processor,https://www.pendo.io/legal/data-processing-addendum/,N/A,?,Request for data deletion,Not available,https://support.pendo.io/hc/en-us/articles/360051378732-Data-Deletion-and-Manipulation-Services,"The services listed below aren't intended to remove Visitors or Accounts for regulatory (GDPR, CCPA, or similar) compliance or inadvertent exposure of PII. If you need data removed for regulatory compliance or PII reasons, contact our Support team."
Glassbox,Processor,Not publicly available,N/A,,,,,
Heap,Processor,Not publicly available,N/A,?,Request for data deletion,https://developers.heap.io/reference/user-deletion,https://help.heap.io/data-privacy/data-deletion/user-deletion-with-postman/,
Smartlook,Processor,https://www.smartlook.com/dpa,N/A,1M/12M,Collection,Not available,https://www.smartlook.com/blog/how-long-should-you-keep-customers-data/,
Planhat,Processor,https://www.planhat.com/dpa/,N/A,,,,,
LogRocket,,,,,,,,
Contentsquare,,,,,,,,
FullStory,,,,,,,,
Mouseflow,,,,,,,,
Whatfix,,,,,,,,
